# QuantLib 1.44-dev (commit 0191ca7); generated by quantlib-conformance/tools/export_fixtures
F,K,s,t,r,displacement,call,put,intrinsic
100,95,0.8,0.02,0.03,0.03,7.3389997790181605,2.34199887919813,4.997000899820027
100,95,0.8,1,0.03,0.03,31.90393446104508,27.051706793302547,4.85222766774254
100,95,0.8,10,0.03,0.03,59.233856209670336,55.529765106261735,3.7040911034085893
100,100,0.05,0.02,0.03,0.03,0.282009575821345,0.282009575821345,0
100,100,0.05,1,0.03,0.03,1.936137815304441,1.936137815304441,0
100,100,0.05,10,0.03,0.03,4.669493688907831,4.669493688907831,0
100,100,0.25,0.02,0.03,0.03,1.4099773800027864,1.4099773800027864,0
100,100,0.25,1,0.03,0.03,9.656543720890904,9.656543720890904,0
100,100,0.25,10,0.03,0.03,22.777154499213502,22.777154499213502,0
100,100,0.8,0.02,0.03,0.03,4.509757281409298,4.509757281409298,0
100,100,0.8,1,0.03,0.03,30.174716692511613,30.174716692511613,0
100,100,0.8,10,0.03,0.03,58.845785488567664,58.845785488567664,0
100,105,0.05,0.02,0.03,0.03,2.664210188576755e-13,4.997000899820283,0
100,105,0.05,1,0.03,0.03,0.43396690460700205,5.286194572349543,0
100,105,0.05,10,0.03,0.03,3.1595708692237365,6.863661972632326,0
100,105,0.25,0.02,0.03,0.03,0.13887031068412833,5.1358712105041535,0
100,105,0.25,1,0.03,0.03,7.658536889435878,12.510764557178431,0
100,105,0.25,10,0.03,0.03,21.53651128441255,25.24060238782114,0
100,105,0.8,0.02,0.03,0.03,2.5464594388058868,7.543460338625921,0
100,105,0.8,1,0.03,0.03,28.557199413474166,33.40942708121671,0
100,105,0.8,10,0.03,0.03,58.47084375126556,62.174934854674156,0
100,120,0.05,0.02,0.03,0.03,2.3993384085153075e-148,19.98800359928011,0
100,120,0.05,1,0.03,0.03,0.00017264587972597563,19.409083316849895,0
100,120,0.05,10,0.03,0.03,0.790982861915129,15.607347275549477,0
100,120,0.25,0.02,0.03,0.03,8.892811032412391e-08,19.988003688208217,0
100,120,0.25,1,0.03,0.03,3.5985807563846306,23.007491427354804,0
100,120,0.25,10,0.03,0.03,18.27298491735432,33.089349330988675,0
100,120,0.8,0.02,0.03,0.03,0.28019432244189985,20.268197921722017,0
100,120,0.8,1,0.03,0.03,24.29703117327493,43.705941844245096,0
100,120,0.8,10,0.03,0.03,57.41598815563819,72.23235256927255,0
100,160,0.05,0.02,0.03,0.03,0,59.964010797840324,0
100,160,0.05,1,0.03,0.03,1.7798291527098234e-21,58.22673201291049,0
100,160,0.05,10,0.03,0.03,0.006236522015190047,44.45532976291827,0
100,160,0.25,0.02,0.03,0.03,4.3691275652927757e-41,59.964010797840324,0
100,160,0.25,1,0.03,0.03,0.35560644315934853,58.58233845606983,0
100,160,0.25,10,0.03,0.03,12.09768413104432,56.546777371947385,0
100,160,0.8,0.02,0.03,0.03,5.1182551697616315e-05,59.964061980392,0
100,160,0.8,1,0.03,0.03,16.20599682657141,74.4327288394819,0
100,160,0.8,10,0.03,0.03,55.004161221009056,99.45325446191214,0
